FILEPATH,FILENAME,HYDROPHONENAME,FILETIME_SEC_FROMMIDNIGHT,SIGNALTIME_SEC_FROMMIDNIGHT,TAGCODE,TOA_MICRO_SEC,SNR_DB,CRC,PHASEMARGIN,CHANNEL
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.43.0133487.bwm,P18SB,52423.01335,52423.01773,G7245491E,4385.41,17.08,0,8,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.43.0133487.bwm,P18SB,52423.01335,52423.01773,G7245491E,4385.41,12.1,0,7.62,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.43.0133487.bwm,P18SB,52423.01335,52423.01773,G7245491E,4385.41,5.2,0,7.88,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.45.1662279.bwm,P18SB,52425.16623,52425.17199,G7245491E,5762.56,8.66,0,8.5,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.45.1662279.bwm,P18SB,52425.16623,52425.17199,G7245491E,5764.74,9.21,0,8.75,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.45.1662279.bwm,P18SB,52425.16623,52425.172,G7245491E,5769.61,11.25,0,8.44,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.45.2710863.bwm,P18SB,52425.27109,52425.27572,G7253EA15,4632.81,16.69,0,8.31,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.47.3387685.bwm,P18SB,52427.33877,52427.34211,G7245491E,3339.08,12.12,0,8.75,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.47.3387685.bwm,P18SB,52427.33877,52427.34211,G7245491E,3341.51,14.04,0,8.44,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.47.4108589.bwm,P18SB,52427.41086,52427.41523,G7253EA15,4370.32,17.67,0,8.88,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.49.5113086.bwm,P18SB,52429.51131,52429.51553,G7245491E,4222.98,13.12,0,9.06,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.49.5113086.bwm,P18SB,52429.51131,52429.51553,G7245491E,4225.45,16.02,0,8.94,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.50.4878045.bwm,P18SB,52430.4878,52430.49103,G726D97E1,3226.16,13.72,0,9.53,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.50.4878045.bwm,P18SB,52430.4878,52430.49103,G726D97E1,3228.59,19.07,0,9.34,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.51.7067864.bwm,P18SB,52431.70679,52431.71048,G7253EA15,3696.9,15.25,0,8,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.52.4702882.bwm,P18SB,52432.47029,52432.47506,G726D97E1,4773.48,19.34,0,8.88,1
E:\BON_P3_CH12\Board1\04.19.2013\BON_P3_CH12_000,BON_P3_CH12_04.19.2013.14.33.52.5194408.bwm,P18SB,52432.51944,52432.52449,G724DE105,5051.34,16.92,0,9.62,1
